TenantId,IsS500,CssUrl
fd30f68b-9540-4497-9d86-c6c877c70497,No,"https://aadcdn.msauthimages.net/81d6b03a-x69qvbducatuqcifxec4j9zenvkep4tzlwfmwof9f-s/logintenantbranding/0/customcss"
fff7cfe8-d84c-4a9c-b4db-5299c2e8f74e,No,"https://aadcdn.msauthimages.net/81d6b03a-dg1o7kdh5zvimgdvg8sjfpv7bp-j6hhr0eha35bz57g/logintenantbranding/0/customcss"
d2757589-76ef-4f97-918a-74cbb9c0e903,No,"https://aadcdn.msauthimages.net/81d6b03a-nu9dg2rss45rw3ljmnyvhrnjw3kgg4xslqabvtceluy/logintenantbranding/0/customcss"
f6e417c5-1a6c-49a8-807f-ba4d1e188479,No,"https://aadcdn.msauthimages.net/81d6b03a-umipn7c6-locdxtpvep0ushe4t59fhhf7e1spgmvq1q/logintenantbranding/0/customcss"
3a4639b4-4bd8-48f1-acee-77a3f0703e72,No,"https://aadcdn.msauthimages.net/81d6b03a-widyei9ju00in92mwy7cu1b8bryprkyp8ue0gvo9dnc/logintenantbranding/0/customcss"
cd397963-6245-4297-8525-e383febe896c,No,"https://aadcdn.msauthimages.net/81d6b03a-avedilnnbzkrx-g1fysvve7b5jjnkq8exfh0mqabbzm/logintenantbranding/0/customcss"
09248bdb-a20b-46b4-982b-38eb5adb151d,No,"https://aadcdn.msauthimages.net/81d6b03a-gsiedqekzszsjmqkrldrihzsemca8zpb45du2xtyawk/logintenantbranding/0/customcss"
4c80ef66-383f-4189-85f6-15eaa61dbb41,No,"https://aadcdn.msauthimages.net/81d6b03a-prvsrwzfow7sbu5pvrquxmellkzb8qchn0f22veyato/logintenantbranding/0/customcss"
bb68a179-d413-48a2-a1f2-4e6639267e78,No,"https://aadcdn.msauthimages.net/81d6b03a-ctoisbdsgb2p2tdmkuxorzpau9co4gxtsrmwlpymfku/logintenantbranding/0/customcss"
d217e219-3b29-497b-b728-fc4217d8d80c,No,"https://aadcdn.msauthimages.net/81d6b03a-k-ggqnlydb1ksaav9scoltxour9-fv-vveueyfacclg/logintenantbranding/0/customcss"
de8e0d38-9926-4e45-96d6-259ce8adaa01,No,"https://aadcdn.msauthimages.net/81d6b03a-xhvbqwimshh0miyo5-woamk-niem3tnrdsxds0jdqoq/logintenantbranding/0/customcss"
7c644941-3a4a-460a-a9be-887fbf5095b0,No,"https://aadcdn.msauthimages.net/81d6b03a-p380-le1k7qwvgiqvteranzkyzkkbnzzlb1pghsctqe/logintenantbranding/0/customcss"
f7e05975-426c-40bf-8c6f-caf8c1c0d2dc,No,"https://aadcdn.msauthimages.net/81d6b03a-fniiadrvtmrcbc6t4vpigttunmtv8wnygooas-izcko/logintenantbranding/0/customcss"
22aba0c3-d199-4698-8897-b41e6d1df5cf,No,"https://aadcdn.msauthimages.net/81d6b03a-liupvvbipbvho0yqxbello8fn4naz6paihxoywopr7s/logintenantbranding/0/customcss"
492b7f2b-721a-42c1-a517-fbb3824aba4a,No,"https://aadcdn.msauthimages.net/81d6b03a-1idos5gvswlznmi4zg4xbxsxjnc8fp24psnu0vkfggw/logintenantbranding/0/customcss"
0e3a779f-ec9c-4de6-b1f8-6ebdd5aa7e5a,No,"https://aadcdn.msauthimages.net/81d6b03a-l9535jvw6ivfvyvuy4nqtzu-in7-zogog0blnlfdii/logintenantbranding/0/customcss"
89f9e6df-8af0-4794-8df0-e61a17b2e485,No,"https://aadcdn.msauthimages.net/81d6b03a-elyusd55tky6b5r-yabq8o5pmiq20zt-lqpb1qcwye/logintenantbranding/0/customcss"
ea8455f0-cfef-4909-b04d-a5d184e719bd,No,"https://aadcdn.msauthimages.net/81d6b03a-pelkgxichdxlx-f8fattgwdkgaugwoica1zfdzwvc7u/logintenantbranding/0/customcss"
cb1a13f6-1b43-4f0c-bc7e-710bad190b7d,No,"https://aadcdn.msauthimages.net/81d6b03a-kf1bhxeaqywvxxpiutqjcare3alhxyg9somq-w96cua/logintenantbranding/0/customcss"
6c62efc3-00d6-4e41-b0f8-8d4dbc05b548,No,"https://aadcdn.msauthimages.net/81d6b03a-sevj3smlfyfplbonecxloepcpjaddpbuhgc-q4swcia/logintenantbranding/0/customcss"
e1f2967a-73a2-4054-a1ce-db5efa9b928c,No,"https://aadcdn.msauthimages.net/81d6b03a-jtodyvmupij7u3kydebsfx40mxl6ge9ko-b9hxtxbiu/logintenantbranding/0/customcss"
2002802c-6428-4701-b8c2-d05d0a38d3bf,No,"https://aadcdn.msauthimages.net/81d6b03a-wiu82wtynrrpzzbqicwebhzl5vkfaqifxwa4tkregaq/logintenantbranding/0/customcss"
7f6a5fcb-8aeb-4ec7-989f-1a73e7416aa0,No,"https://aadcdn.msauthimages.net/81d6b03a-yjyfubqljhhfr5cdul0p-dhw1cjys6akoymb-gmybli/logintenantbranding/0/customcss"
1c784f76-60d6-4a82-996f-82ee027e5d08,No,"https://aadcdn.msauthimages.net/81d6b03a-zje-mlzjp6tnj1t3yvjnbocsrcntluifgoxzyhfhhum/logintenantbranding/0/customcss"
836ebe2c-df95-43d4-b95e-4250dc77b015,No,"https://aadcdn.msauthimages.net/81d6b03a-dstrojmpvngbq9nzun4vpck8hlshjdpp3-cni9vfxsq/logintenantbranding/0/customcss"
86e02dd9-86d6-4aed-ac42-437aa938d181,No,"https://aadcdn.msauthimages.net/81d6b03a-lnhbvdcu2ohc2rhrth8anwbr1pvdk8zrnuiqrfmmbdy/logintenantbranding/0/customcss"
fd709f83-36b5-480a-9e9d-b1b568b45050,No,"https://aadcdn.msauthimages.net/81d6b03a-b2ewbt0lfn06cdvlvxcpa3qxm9vmjxixxzt6vtluuz0/logintenantbranding/0/customcss"
9fa03a16-98e1-4dbb-b2a4-26320efdaa9c,No,"https://aadcdn.msauthimages.net/81d6b03a-wgdjxfh2hz9fqgmbso4e-4sarib3kb7r6haf1j7viry/logintenantbranding/0/customcss"
b182b5fd-dfd6-4ce9-ae3d-3c5234d3191e,No,"https://aadcdn.msauthimages.net/81d6b03a-i5efjdmkhplcj-zhylve6iplbzjfdp0wvm-64nekydq/logintenantbranding/0/customcss"
3335a480-e6f0-4ba6-85a6-c508ffa2865f,No,"https://aadcdn.msauthimages.net/81d6b03a-j5mukjxbvvmfcam3d8uxggbv0zsvt-jbi5l5flxk2me/logintenantbranding/0/customcss"
73eb7962-fdae-4198-a9a3-d0843290a1bf,No,"https://aadcdn.msauthimages.net/81d6b03a-hafbs3y7fqqh8jai6aydprm1k58yvgl9jilfllnyev0/logintenantbranding/0/customcss"
05c767d5-f296-4c25-a1cb-2a81586138a3,No,"https://aadcdn.msauthimages.net/81d6b03a-trojo019etqsvalry96k14sy6-hbhisslty2gr752e/logintenantbranding/0/customcss"
2ef2065b-3779-4751-89fc-325a2aa4e626,No,"https://aadcdn.msauthimages.net/81d6b03a-qk-qawhd3atojeos-c68ntih8gfeh4i7s5eeko1vtu/logintenantbranding/0/customcss"
ba480875-48fd-49c9-9e6f-a3f5e39cc192,No,"https://aadcdn.msauthimages.net/81d6b03a-v-h-p60as92soyy2nqwhmkocicxm1d0euzlezgaybeo/logintenantbranding/0/customcss"
d58c6536-1b6a-4309-bdd9-2097b12b850b,No,"https://aadcdn.msauthimages.net/81d6b03a-j1f4rswxl2degkwnunlrkytm0azc9cqrumofgwb7y70/logintenantbranding/0/customcss"
e304cd3d-4087-4403-a553-d2c5a4ff77d8,No,"https://aadcdn.msauthimages.net/81d6b03a-nlor7wfw-b163vkoezhpnvwrr9gd3wkb3cggknmazuw/logintenantbranding/0/customcss"
62f292fa-3430-4aea-86c0-c4e5b1117e69,No,"https://aadcdn.msauthimages.net/81d6b03a-ozzz8mkcf-eare-uplwdxmrdnwevonpxwrgtgridrfq/logintenantbranding/0/customcss"
5eafc9d2-f737-4717-9794-97d380f0164a,No,"https://aadcdn.msauthimages.net/81d6b03a-xthngz2bek0m7q-vjswdjjnegoghhv2n5v2echwhdw0/logintenantbranding/0/customcss"
17bf1c67-b52a-4549-8bfd-6db6c3bcd821,No,"https://aadcdn.msauthimages.net/81d6b03a-1w9uwd7fwtvq5qa2nspjdpbpdgbqzpu9p-wgozebrty/logintenantbranding/0/customcss"
dec41a7b-85c8-4aed-836c-9c47945ac1a9,No,"https://aadcdn.msauthimages.net/81d6b03a-al7um8dera3mosrqnl1gdrdbuahyjhqltsqlwthme-w/logintenantbranding/0/customcss"
28b87cc2-8ef5-4351-8133-6441228b595c,No,"https://aadcdn.msauthimages.net/81d6b03a-fdy6imxwrwrij8moscmn4attuvelzqhvv7rhtaqnt3u/logintenantbranding/0/customcss"
c45c870b-b45d-4337-a207-91bc1363c988,No,"https://aadcdn.msauthimages.net/81d6b03a-pg4o9rmgjiqncndfwh3hgfqo9dzos9rj0kve-ycvjxq/logintenantbranding/0/customcss"
bb9690df-b79e-4b32-af47-10c226eed355,No,"https://aadcdn.msauthimages.net/81d6b03a-hksdkrjtpgpkcmdgtjc-yg5hysdnf0bcphqapk6tte0/logintenantbranding/0/customcss"
b34ef43b-a31a-4850-ba7e-c946b584b1dd,No,"https://aadcdn.msauthimages.net/81d6b03a-adakbdtfqyioqa1zu1sj7rbc8xzqymnzleyxzw3mzng/logintenantbranding/0/customcss"
ea435c7e-30a3-4032-8d21-8d1cef2e8f0f,No,"https://aadcdn.msauthimages.net/81d6b03a-k22kqri5whve6rlfkhopnoqtgmgghb9whobldmv0bwy/logintenantbranding/0/customcss"
3b29f50f-9736-4b0b-bc7a-219ce32083ba,No,"https://aadcdn.msauthimages.net/81d6b03a-frmmtpihuowy15mr4kxcwhflzfxrpu4bkuvpuxm0qp4/logintenantbranding/0/customcss"
c8f9e366-f6b5-4500-b3d8-f75bd1e094a8,No,"https://aadcdn.msauthimages.net/81d6b03a-lbz1skd2k48do09-zzosjvtwgzgp-5silm-98y8scem/logintenantbranding/1033/customcss"
